data,nome,municipio,cod_filial
04/03/2025,CARNAVAL,BELO HORIZONTE,6
18/04/2025,SEXTA FEIRA SANTA,BELO HORIZONTE,6
19/06/2025,CORPUS CHRIST,BELO HORIZONTE,6
04/03/2025,CARNAVAL,FLORIANÓPOLIS,75
18/04/2025,SEXTA FEIRA SANTA,FLORIANÓPOLIS,75
19/06/2025,CORPUS CHRIST,FLORIANÓPOLIS,75
17/03/2025,ANIVERSARIO,ARACAJU,170
24/06/2025,SÃO JOÃO,ARACAJU,170
08/07/2025,ANIVERSARIO SERGIPE,ARACAJU,170
08/12/2025,PADROEIRA,ARACAJU,170
29/06/2025,SÃO PEDRO,SÃO LUIS,116
28/07/2025,ADESÃO AO IMPÉRIO,SÃO LUIS,116
08/09/2025,NATIVIDADE DE NOSSA SENHORA,SÃO LUIS,116
08/12/2025,NOSSA SENHORA DA CONCEIÇÃO,SÃO LUIS,116
15/08/2025,ASSUNÇÃO DE NOSSA SENHORA,BELO HORIZONTE,6
08/12/2025,IMACULADA CONCEIÇÃO,BELO HORIZONTE,6
23/03/2025,ANIVERSÁRIO,FLORIANÓPOLIS,75
11/08/2025,CRIAÇÃO DA CAPITANIA,FLORIANÓPOLIS,75
